Survived,Pclass,Sex,SibSp,Parch,Embarked,Fare,Age
0,3,male,1,0,S,7.25,22
1,1,female,1,0,C,71.2833,38
1,3,female,0,0,S,7.925,26
1,1,female,1,0,S,53.1,35
0,3,male,0,0,S,8.05,35
0,3,male,0,0,Q,8.4583,
0,1,male,0,0,S,51.8625,54
0,3,male,3,1,S,21.075,2
1,3,female,0,2,S,11.1333,27
1,2,female,1,0,C,30.0708,14
1,3,female,1,1,S,16.7,4
1,1,female,0,0,S,26.55,58
0,3,male,0,0,S,8.05,20
0,3,male,1,5,S,31.275,39
0,3,female,0,0,S,7.8542,14
1,2,female,0,0,S,16,55
0,3,male,4,1,Q,29.125,2
1,2,male,0,0,S,13,
0,3,female,1,0,S,18,31
1,3,female,0,0,C,7.225,
0,2,male,0,0,S,26,35
1,2,male,0,0,S,13,34
1,3,female,0,0,Q,8.0292,15
1,1,male,0,0,S,35.5,28
0,3,female,3,1,S,21.075,8
1,3,female,1,5,S,31.3875,38
0,3,male,0,0,C,7.225,
0,1,male,3,2,S,263,19
1,3,female,0,0,Q,7.8792,
0,3,male,0,0,S,7.8958,
0,1,male,0,0,C,27.7208,40
1,1,female,1,0,C,146.5208,
1,3,female,0,0,Q,7.75,
0,2,male,0,0,S,10.5,66
0,1,male,1,0,C,82.1708,28
0,1,male,1,0,S,52,42
1,3,male,0,0,C,7.2292,
0,3,male,0,0,S,8.05,21
0,3,female,2,0,S,18,18
1,3,female,1,0,C,11.2417,14
0,3,female,1,0,S,9.475,40
0,2,female,1,0,S,21,27
0,3,male,0,0,C,7.8958,
1,2,female,1,2,C,41.5792,3
1,3,female,0,0,Q,7.8792,19
0,3,male,0,0,S,8.05,
0,3,male,1,0,Q,15.5,
1,3,female,0,0,Q,7.75,
0,3,male,2,0,C,21.6792,
0,3,female,1,0,S,17.8,18
0,3,male,4,1,S,39.6875,7
0,3,male,0,0,S,7.8,21
1,1,female,1,0,C,76.7292,49
1,2,female,1,0,S,26,29
0,1,male,0,1,C,61.9792,65
1,1,male,0,0,S,35.5,
1,2,female,0,0,S,10.5,21
0,3,male,0,0,C,7.2292,28.5
1,2,female,1,2,S,27.75,5
0,3,male,5,2,S,46.9,11
0,3,male,0,0,C,7.2292,22
1,1,female,0,0,,80,38
0,1,male,1,0,S,83.475,45
0,3,male,3,2,S,27.9,4
0,1,male,0,0,C,27.7208,
1,3,male,1,1,C,15.2458,
1,2,female,0,0,S,10.5,29
0,3,male,0,0,S,8.1583,19
1,3,female,4,2,S,7.925,17
0,3,male,2,0,S,8.6625,26
0,2,male,0,0,S,10.5,32
0,3,female,5,2,S,46.9,16
0,2,male,0,0,S,73.5,21
0,3,male,1,0,C,14.4542,26
1,3,male,0,0,S,56.4958,32
0,3,male,0,0,S,7.65,25
0,3,male,0,0,S,7.8958,
0,3,male,0,0,S,8.05,
1,2,male,0,2,S,29,0.83
1,3,female,0,0,S,12.475,30
0,3,male,0,0,S,9,22
1,3,male,0,0,S,9.5,29
1,3,female,0,0,Q,7.7875,
0,1,male,0,0,S,47.1,28
1,2,female,0,0,S,10.5,17
1,3,female,3,0,S,15.85,33
0,3,male,1,3,S,34.375,16
0,3,male,0,0,S,8.05,
1,1,female,3,2,S,263,23
0,3,male,0,0,S,8.05,24
0,3,male,0,0,S,8.05,29
0,3,male,0,0,S,7.8542,20
0,1,male,1,0,S,61.175,46
0,3,male,1,2,S,20.575,26
0,3,male,0,0,S,7.25,59
0,3,male,0,0,S,8.05,
0,1,male,0,0,C,34.6542,71
1,1,male,0,1,C,63.3583,23
1,2,female,0,1,S,23,34
0,2,male,1,0,S,26,34
0,3,female,0,0,S,7.8958,28
0,3,male,0,0,S,7.8958,
0,1,male,0,1,S,77.2875,21
0,3,male,0,0,S,8.6542,33
0,3,male,2,0,S,7.925,37
0,3,male,0,0,S,7.8958,28
1,3,female,0,0,S,7.65,21
1,3,male,0,0,S,7.775,
0,3,male,0,0,S,7.8958,38
1,3,female,1,0,Q,24.15,
0,1,male,0,0,S,52,47
0,3,female,1,0,C,14.4542,14.5
0,3,male,0,0,S,8.05,22
0,3,female,1,0,S,9.825,20
0,3,female,0,0,C,14.4583,17
0,3,male,0,0,S,7.925,21
0,3,male,0,0,Q,7.75,70.5
0,2,male,1,0,S,21,29
0,1,male,0,1,C,247.5208,24
0,3,female,4,2,S,31.275,2
0,2,male,2,0,S,73.5,21
0,3,male,0,0,S,8.05,
0,2,male,1,0,C,30.0708,32.5
1,2,female,0,0,S,13,32.5
0,1,male,0,1,S,77.2875,54
1,3,male,1,0,C,11.2417,12
0,3,male,0,0,Q,7.75,
1,3,male,0,0,S,7.1417,24
1,3,female,1,1,C,22.3583,
0,3,male,0,0,S,6.975,45
0,3,male,0,0,C,7.8958,33
0,3,male,0,0,S,7.05,20
0,3,female,1,0,S,14.5,47
1,2,female,1,0,S,26,29
0,2,male,0,0,S,13,25
0,2,male,0,0,C,15.0458,23
1,1,female,0,2,S,26.2833,19
0,1,male,1,0,S,53.1,37
0,3,male,0,0,S,9.2167,16
0,1,male,0,0,C,79.2,24
0,3,female,0,2,C,15.2458,
1,3,female,0,0,S,7.75,22
1,3,female,1,0,S,15.85,24
0,3,male,0,0,Q,6.75,19
0,2,male,0,0,S,11.5,18
0,2,male,1,1,S,36.75,19
1,3,male,0,0,S,7.7958,27
0,3,female,2,2,S,34.375,9
0,2,male,0,2,S,26,36.5
0,2,male,0,0,S,13,42
0,2,male,0,0,S,12.525,51
1,1,female,1,0,S,66.6,22
0,3,male,0,0,S,8.05,55.5
0,3,male,0,2,S,14.5,40.5
0,3,male,0,0,S,7.3125,
0,1,male,0,1,C,61.3792,51
1,3,female,0,0,Q,7.7333,16
0,3,male,0,0,S,8.05,30
0,3,male,0,0,S,8.6625,
0,3,male,8,2,S,69.55,
0,3,male,0,1,S,16.1,44
1,2,female,0,0,S,15.75,40
0,3,male,0,0,S,7.775,26
0,3,male,0,0,S,8.6625,17
0,3,male,4,1,S,39.6875,1
1,3,male,0,2,S,20.525,9
1,1,female,0,1,S,55,
0,3,female,1,4,S,27.9,45
0,1,male,0,0,S,25.925,
0,3,male,0,0,S,56.4958,28
0,1,male,0,0,S,33.5,61
0,3,male,4,1,Q,29.125,4
1,3,female,1,1,S,11.1333,1
0,3,male,0,0,S,7.925,21
0,1,male,0,0,C,30.6958,56
0,3,male,1,1,S,7.8542,18
0,3,male,3,1,S,25.4667,
0,1,female,0,0,C,28.7125,50
0,2,male,0,0,S,13,30
0,3,male,0,0,S,0,36
0,3,female,8,2,S,69.55,
0,2,male,0,0,C,15.05,
0,3,male,4,2,S,31.3875,9
1,2,male,2,1,S,39,1
1,3,female,0,2,S,22.025,4
0,1,male,0,0,S,50,
1,3,female,1,0,Q,15.5,
1,1,male,0,0,S,26.55,45
0,3,male,1,1,Q,15.5,40
0,3,male,0,0,S,7.8958,36
1,2,female,0,0,S,13,32
0,2,male,0,0,S,13,19
1,3,female,1,0,S,7.8542,19
1,2,male,1,1,S,26,3
1,1,female,0,0,C,27.7208,44
1,1,female,0,0,C,146.5208,58
0,3,male,0,0,Q,7.75,
0,3,male,0,1,S,8.4042,42
1,3,female,0,0,Q,7.75,
0,2,female,0,0,S,13,24
0,3,male,0,0,S,9.5,28
0,3,male,8,2,S,69.55,
0,3,male,0,0,S,6.4958,34
0,3,male,0,0,C,7.225,45.5
1,3,male,0,0,S,8.05,18
0,3,female,0,1,S,10.4625,2
0,3,male,1,0,S,15.85,32
1,3,male,0,0,C,18.7875,26
1,3,female,0,0,Q,7.75,16
1,1,male,0,0,C,31,40
0,3,male,0,0,S,7.05,24
1,2,female,0,0,S,21,35
0,3,male,0,0,S,7.25,22
0,2,male,0,0,S,13,30
0,3,male,1,0,Q,7.75,
1,1,female,1,0,C,113.275,31
1,3,female,0,0,S,7.925,27
0,2,male,1,0,S,27,42
1,1,female,0,0,C,76.2917,32
0,2,male,0,0,S,10.5,30
1,3,male,0,0,S,8.05,16
0,2,male,0,0,S,13,27
0,3,male,0,0,S,8.05,51
0,3,male,0,0,S,7.8958,
1,1,male,1,0,S,90,38
0,3,male,0,0,S,9.35,22
1,2,male,0,0,S,10.5,19
0,3,male,0,0,S,7.25,20.5
0,2,male,0,0,S,13,18
0,3,female,3,1,S,25.4667,
1,1,female,1,0,S,83.475,35
0,3,male,0,0,S,7.775,29
0,2,male,0,0,S,13.5,59
1,3,female,4,2,S,31.3875,5
0,2,male,0,0,S,10.5,24
0,3,female,0,0,S,7.55,
0,2,male,1,0,S,26,44
1,2,female,0,2,S,26.25,8
0,2,male,0,0,S,10.5,19
0,2,male,0,0,S,12.275,33
0,3,female,1,0,C,14.4542,
1,3,female,1,0,Q,15.5,
0,2,male,0,0,S,10.5,29
0,3,male,0,0,S,7.125,22
0,3,male,0,0,C,7.225,30
0,1,male,2,0,Q,90,44
0,3,female,0,0,S,7.775,25
1,2,female,0,2,S,14.5,24
1,1,male,1,1,S,52.5542,37
0,2,male,1,0,S,26,54
0,3,male,0,0,S,7.25,
0,3,female,1,1,S,10.4625,29
0,1,male,0,0,S,26.55,62
0,3,male,1,0,S,16.1,30
0,3,female,0,2,S,20.2125,41
1,3,female,0,2,C,15.2458,29
1,1,female,0,0,C,79.2,
1,1,female,0,0,S,86.5,30
1,1,female,0,0,C,512.3292,35
1,2,female,0,1,S,26,50
0,3,male,0,0,Q,7.75,
1,3,male,4,2,S,31.3875,3
0,1,male,1,1,S,79.65,52
0,1,male,0,0,S,0,40
0,3,female,0,0,Q,7.75,
0,2,male,0,0,S,10.5,36
0,3,male,4,1,S,39.6875,16
1,3,male,1,0,S,7.775,25
1,1,female,0,1,S,153.4625,58
1,1,female,0,0,S,135.6333,35
0,1,male,0,0,S,31,
1,3,male,0,0,S,0,25
1,2,female,0,1,S,19.5,41
0,1,male,0,1,C,29.7,37
1,3,female,0,0,Q,7.75,
1,1,female,1,0,S,77.9583,63
0,3,female,0,0,S,7.75,45
0,2,male,0,0,S,0,
0,3,male,4,1,Q,29.125,7
1,3,female,1,1,S,20.25,35
0,3,male,0,0,Q,7.75,65
0,3,male,0,0,S,7.8542,28
0,3,male,0,0,S,9.5,16
1,3,male,0,0,S,8.05,19
0,1,male,0,0,S,26,
0,3,male,0,0,C,8.6625,33
1,3,male,0,0,S,9.5,30
0,3,male,0,0,S,7.8958,22
1,2,male,0,0,S,13,42
1,3,female,0,0,Q,7.75,22
1,1,female,0,0,S,78.85,26
1,1,female,1,0,C,91.0792,19
0,2,male,0,0,C,12.875,36
0,3,female,0,0,S,8.85,24
0,3,male,0,0,S,7.8958,24
0,1,male,0,0,C,27.7208,
0,3,male,0,0,C,7.2292,23.5
0,1,female,1,2,S,151.55,2
1,1,male,0,0,S,30.5,
1,1,female,0,1,C,247.5208,50
1,3,female,0,0,Q,7.75,
1,3,male,2,0,Q,23.25,
0,3,male,0,0,S,0,19
1,2,female,0,0,Q,12.35,
0,3,male,0,0,S,8.05,
1,1,male,1,2,S,151.55,0.92
1,1,female,0,0,C,110.8833,
1,1,female,1,0,C,108.9,17
0,2,male,1,0,C,24,30
1,1,female,0,0,C,56.9292,30
1,1,female,0,0,C,83.1583,24
1,1,female,2,2,C,262.375,18
0,2,female,1,1,S,26,26
0,3,male,0,0,S,7.8958,28
0,2,male,1,1,S,26.25,43
1,3,female,0,0,S,7.8542,26
1,2,female,1,0,S,26,24
0,2,male,0,0,S,14,54
1,1,female,0,2,S,164.8667,31
1,1,female,1,1,C,134.5,40
0,3,male,0,0,S,7.25,22
0,3,male,0,0,S,7.8958,27
1,2,female,0,0,Q,12.35,30
1,2,female,1,1,S,29,22
0,3,male,8,2,S,69.55,
1,1,female,0,0,C,135.6333,36
0,3,male,0,0,S,6.2375,61
1,2,female,0,0,S,13,36
1,3,female,1,1,S,20.525,31
1,1,female,0,1,C,57.9792,16
1,3,female,2,0,Q,23.25,
0,1,male,0,0,S,28.5,45.5
0,1,male,0,1,S,153.4625,38
0,3,male,2,0,S,18,16
1,1,female,1,0,S,133.65,
0,3,male,0,0,S,7.8958,
0,1,male,1,0,S,66.6,29
1,1,female,0,0,C,134.5,41
1,3,male,0,0,S,8.05,45
0,1,male,0,0,S,35.5,45
1,2,male,1,1,S,26,2
1,1,female,3,2,S,263,24
0,2,male,0,0,S,13,28
0,2,male,0,0,S,13,25
0,2,male,0,0,S,13,36
1,2,female,0,0,S,13,24
1,2,female,0,0,S,13,40
1,3,female,1,0,S,16.1,
1,3,male,1,1,S,15.9,3
0,3,male,0,0,S,8.6625,42
0,3,male,0,0,S,9.225,23
0,1,male,0,0,S,35,
0,3,male,1,1,C,7.2292,15
0,3,male,1,0,S,17.8,25
0,3,male,0,0,C,7.225,
0,3,male,0,0,S,9.5,28
1,1,female,0,1,S,55,22
0,2,female,0,0,S,13,38
1,3,female,0,0,Q,7.8792,
1,3,female,0,0,Q,7.8792,
0,3,male,1,4,S,27.9,40
0,2,male,1,0,C,27.7208,29
0,3,female,0,1,C,14.4542,45
0,3,male,0,0,S,7.05,35
0,3,male,1,0,Q,15.5,
0,3,male,0,0,S,7.25,30
1,1,female,1,0,C,75.25,60
1,3,female,0,0,C,7.2292,
1,3,female,0,0,Q,7.75,
1,1,female,0,0,C,69.3,24
1,1,male,1,0,C,55.4417,25
0,3,male,1,0,S,6.4958,18
0,3,male,0,0,S,8.05,19
0,1,male,0,0,C,135.6333,22
0,3,female,3,1,S,21.075,3
1,1,female,1,0,C,82.1708,
1,3,female,0,0,S,7.25,22
0,1,male,0,2,C,211.5,27
0,3,male,0,0,C,4.0125,20
0,3,male,0,0,S,7.775,19
1,1,female,0,0,C,227.525,42
1,3,female,0,2,C,15.7417,1
0,3,male,0,0,S,7.925,32
1,1,female,1,0,S,52,35
0,3,male,0,0,S,7.8958,
0,2,male,0,0,S,73.5,18
0,3,male,5,2,S,46.9,1
1,2,female,0,0,S,13,36
0,3,male,0,0,Q,7.7292,
1,2,female,0,0,C,12,17
1,1,male,1,2,S,120,36
1,3,male,0,0,S,7.7958,21
0,3,male,2,0,S,7.925,28
1,1,female,1,0,C,113.275,23
1,3,female,0,2,S,16.7,24
0,3,male,0,0,S,7.7958,22
0,3,female,0,0,S,7.8542,31
0,2,male,0,0,S,26,46
0,2,male,0,0,S,10.5,23
1,2,female,0,0,S,12.65,28
1,3,male,0,0,S,7.925,39
0,3,male,0,0,S,8.05,26
0,3,female,1,0,S,9.825,21
0,3,male,1,0,S,15.85,28
0,3,female,0,0,S,8.6625,20
0,2,male,1,0,S,21,34
0,3,male,0,0,S,7.75,51
1,2,male,1,1,S,18.75,3
0,3,male,0,0,S,7.775,21
0,3,female,3,1,S,25.4667,
0,3,male,0,0,S,7.8958,
0,3,male,0,0,Q,6.8583,
1,1,female,1,0,Q,90,33
0,2,male,0,0,S,0,
1,3,male,0,0,S,7.925,44
0,3,female,0,0,S,8.05,
1,2,female,1,1,S,32.5,34
1,2,female,0,2,S,13,18
0,2,male,0,0,S,13,30
0,3,female,0,2,S,24.15,10
0,3,male,0,0,C,7.8958,
0,3,male,0,0,Q,7.7333,21
0,3,male,0,0,S,7.875,29
0,3,female,1,1,S,14.4,28
0,3,male,1,1,S,20.2125,18
0,3,male,0,0,S,7.25,
1,2,female,1,0,S,26,28
1,2,female,0,0,S,26,19
0,3,male,0,0,Q,7.75,
1,3,male,0,0,S,8.05,32
1,1,male,0,0,S,26.55,28
1,3,female,1,0,S,16.1,
1,2,female,1,0,S,26,42
0,3,male,0,0,S,7.125,17
0,1,male,1,0,S,55.9,50
1,1,female,1,2,S,120,14
0,3,female,2,2,S,34.375,21
1,2,female,2,3,S,18.75,24
0,1,male,1,4,S,263,64
0,2,male,0,0,S,10.5,31
1,2,female,1,1,S,26.25,45
0,3,male,0,0,S,9.5,20
0,3,male,1,0,S,7.775,25
