Survived,Pclass,Sex,SibSp,Parch,Embarked,Fare,Age
1,2,female,0,0,S,13,28
1,3,male,0,0,S,8.1125,
1,1,male,0,2,S,81.8583,4
1,2,female,0,1,S,19.5,13
1,1,male,0,0,S,26.55,34
1,3,female,2,1,C,19.2583,5
1,1,male,0,0,S,30.5,52
0,2,male,1,2,S,27.75,36
0,3,male,1,0,S,19.9667,
0,1,male,0,0,C,27.75,30
1,1,male,1,0,C,89.1042,49
0,3,male,0,0,S,8.05,
1,3,male,0,0,C,7.8958,29
0,1,male,0,0,S,26.55,65
1,1,female,1,0,S,51.8625,
1,2,female,0,0,S,10.5,50
0,3,male,0,0,Q,7.75,
1,1,male,0,0,S,26.55,48
0,3,male,0,0,S,8.05,34
0,1,male,0,0,S,38.5,47
0,2,male,0,0,S,13,48
0,3,male,0,0,S,8.05,
0,3,male,0,0,S,7.05,38
0,2,male,0,0,S,0,
0,1,male,0,0,S,26.55,56
0,3,male,0,0,Q,7.725,
1,3,female,2,1,C,19.2583,0.75
0,3,male,0,0,S,7.25,
0,3,male,0,0,S,8.6625,38
1,2,female,1,2,S,27.75,33
1,2,female,0,0,C,13.7917,23
0,3,female,0,0,S,9.8375,22
0,1,male,0,0,S,52,
0,2,male,1,0,S,21,34
0,3,male,1,0,S,7.0458,29
0,3,male,0,0,S,7.5208,22
1,3,female,0,1,S,12.2875,2
0,3,male,5,2,S,46.9,9
0,2,male,0,0,S,0,
0,3,male,0,0,S,8.05,50
1,3,female,0,0,S,9.5875,63
1,1,male,1,0,C,91.0792,25
0,3,female,3,1,S,25.4667,
1,1,female,1,0,S,90,35
0,1,male,0,0,C,29.7,58
0,3,male,0,0,S,8.05,30
1,3,male,1,1,S,15.9,9
0,3,male,1,0,S,19.9667,
0,3,male,0,0,S,7.25,21
0,1,male,0,0,S,30.5,55
0,1,male,0,0,C,49.5042,71
0,3,male,0,0,S,8.05,21
0,3,male,0,0,C,14.4583,
1,1,female,1,0,C,78.2667,54
0,3,male,0,0,S,15.1,
0,1,female,1,2,S,151.55,25
0,3,male,0,0,S,7.7958,24
0,3,male,0,0,S,8.6625,17
0,3,female,0,0,Q,7.75,21
0,3,female,0,0,Q,7.6292,
0,3,female,0,0,S,9.5875,37
1,1,female,0,0,S,86.5,16
0,1,male,1,0,C,108.9,18
1,2,female,0,2,S,26,33
1,1,male,0,0,S,26.55,
0,3,male,0,0,S,22.525,28
1,3,male,0,0,S,56.4958,26
1,3,male,0,0,Q,7.75,29
0,3,male,0,0,S,8.05,
1,1,male,0,0,S,26.2875,36
1,1,female,1,0,C,59.4,54
0,3,male,0,0,S,7.4958,24
0,1,male,0,0,S,34.0208,47
1,2,female,0,0,S,10.5,34
0,3,male,0,0,Q,24.15,
1,2,female,1,0,S,26,36
0,3,male,0,0,S,7.8958,32
1,1,female,0,0,S,93.5,30
0,3,male,0,0,S,7.8958,22
0,3,male,0,0,C,7.225,
1,1,female,0,1,C,57.9792,44
0,3,male,0,0,C,7.2292,
0,3,male,0,0,Q,7.75,40.5
1,2,female,0,0,S,10.5,50
0,1,male,0,0,S,221.7792,
0,3,male,0,0,S,7.925,39
0,2,male,2,1,S,11.5,23
1,2,female,1,1,S,26,2
0,3,male,0,0,C,7.2292,
0,3,male,1,1,C,7.2292,17
1,3,female,0,2,C,22.3583,
0,3,female,0,0,S,8.6625,30
1,2,female,0,2,S,26.25,7
0,1,male,0,0,S,26.55,45
1,1,female,0,0,C,106.425,30
0,3,male,0,0,S,14.5,
1,1,female,0,2,C,49.5,22
1,1,female,0,2,S,71,36
0,3,female,4,2,S,31.275,9
0,3,female,4,2,S,31.275,11
1,2,male,1,0,S,26,32
0,1,male,1,0,C,106.425,50
0,1,male,0,0,S,26,64
1,2,female,1,0,S,26,19
1,2,male,0,0,C,13.8625,
0,3,male,1,1,S,20.525,33
1,2,male,1,1,S,36.75,8
1,1,male,0,2,C,110.8833,17
0,2,male,0,0,S,26,27
0,3,male,0,0,Q,7.8292,
1,3,male,0,0,C,7.225,22
1,3,female,0,0,S,7.775,22
0,1,male,0,0,S,26.55,62
1,1,female,1,0,C,39.6,48
0,1,male,0,0,C,227.525,
1,1,female,1,1,S,79.65,39
1,3,female,1,0,S,17.4,36
0,3,male,0,0,Q,7.75,
0,3,male,0,0,S,7.8958,40
0,2,male,0,0,S,13.5,28
0,3,male,0,0,S,8.05,
0,3,female,0,0,S,8.05,
0,3,male,2,0,S,24.15,24
0,3,male,0,0,S,7.8958,19
0,3,female,0,4,S,21.075,29
0,3,male,0,0,C,7.2292,
1,3,male,0,0,S,7.8542,32
1,2,male,0,0,S,10.5,62
1,1,female,2,0,S,51.4792,53
1,1,male,0,0,S,26.3875,36
1,3,female,0,0,Q,7.75,
0,3,male,0,0,S,8.05,16
0,3,male,0,0,S,14.5,19
1,2,female,0,0,S,13,34
1,1,female,1,0,S,55.9,39
0,3,female,1,0,C,14.4583,
1,3,male,0,0,S,7.925,32
1,2,female,1,1,S,30,25
1,1,female,1,1,C,110.8833,39
0,2,male,0,0,S,26,54
0,1,male,0,0,C,40.125,36
0,3,male,0,0,C,8.7125,
1,1,female,0,2,S,79.65,18
0,2,male,0,0,S,15,47
1,1,male,1,1,C,79.2,60
0,3,male,0,0,S,8.05,22
0,3,male,0,0,S,8.05,
0,3,male,0,0,S,7.125,35
1,1,female,1,0,C,78.2667,52
0,3,male,0,0,S,7.25,47
0,3,female,0,2,Q,7.75,
0,2,male,1,0,S,26,37
0,3,male,1,1,S,24.15,36
1,2,female,0,0,S,33,
0,3,male,0,0,S,0,49
0,3,male,0,0,C,7.225,
1,1,male,1,0,C,56.9292,49
1,2,female,2,1,S,27,24
0,3,male,0,0,S,7.8958,
0,1,male,0,0,S,42.4,
0,3,male,0,0,S,8.05,44
1,1,male,0,0,C,26.55,35
0,3,male,1,0,S,15.55,36
0,3,male,0,0,S,7.8958,30
1,1,male,0,0,S,30.5,27
1,2,female,1,2,C,41.5792,22
1,1,female,0,0,S,153.4625,40
0,3,female,1,5,S,31.275,39
0,3,male,0,0,S,7.05,
1,3,female,1,0,Q,15.5,
0,3,male,0,0,Q,7.75,
0,3,male,0,0,S,8.05,35
1,2,female,1,2,S,65,24
0,3,male,1,1,S,14.4,34
0,3,female,1,0,S,16.1,26
1,2,female,2,1,S,39,4
0,2,male,0,0,S,10.5,26
0,3,male,1,0,C,14.4542,27
1,1,male,1,0,S,52.5542,42
1,3,male,1,1,C,15.7417,20
0,3,male,0,0,S,7.8542,21
0,3,male,0,0,S,16.1,21
0,1,male,0,0,S,32.3208,61
0,2,male,0,0,Q,12.35,57
1,1,female,0,0,S,77.9583,21
0,3,male,0,0,S,7.8958,26
0,3,male,0,0,Q,7.7333,
1,1,male,0,0,S,30,80
0,3,male,0,0,S,7.0542,51
1,1,male,0,0,C,30.5,32
0,1,male,0,0,S,0,
0,3,female,3,2,S,27.9,9
1,2,female,0,0,S,13,28
0,3,male,0,0,S,7.925,32
0,2,male,1,1,S,26.25,31
0,3,female,0,5,S,39.6875,41
0,3,male,1,0,S,16.1,
0,3,male,0,0,S,7.8542,20
1,1,female,0,0,C,69.3,24
0,3,female,3,2,S,27.9,2
1,3,male,0,0,S,56.4958,
1,3,female,2,1,C,19.2583,0.75
1,1,male,1,0,C,76.7292,48
0,3,male,0,0,S,7.8958,19
1,1,male,0,0,C,35.5,56
0,3,male,0,0,S,7.55,
1,3,female,0,0,S,7.55,23
0,3,male,0,0,S,7.8958,
1,2,female,0,1,S,23,18
0,3,male,0,0,S,8.4333,21
1,3,female,0,0,Q,7.8292,
0,3,female,0,0,Q,6.75,18
0,2,male,2,0,S,73.5,24
0,3,male,0,0,S,7.8958,
0,3,female,1,1,Q,15.5,32
0,2,male,0,0,S,13,23
0,1,male,0,2,C,113.275,58
1,1,male,2,0,S,133.65,50
0,3,male,0,0,C,7.225,40
0,1,male,0,0,S,25.5875,47
0,3,male,0,0,S,7.4958,36
1,3,male,1,0,S,7.925,20
0,2,male,2,0,S,73.5,32
0,2,male,0,0,S,13,25
0,3,male,0,0,S,7.775,
0,3,male,0,0,S,8.05,43
1,1,female,1,0,S,52,
1,2,female,1,1,S,39,40
0,1,male,1,0,S,52,31
0,2,male,0,0,S,10.5,70
1,2,male,0,0,S,13,31
0,2,male,0,0,S,0,
0,3,male,0,0,S,7.775,18
0,3,male,0,0,S,8.05,24.5
1,3,female,0,0,S,9.8417,18
0,3,female,1,6,S,46.9,43
1,1,male,0,1,C,512.3292,36
0,3,female,0,0,Q,8.1375,
1,1,male,0,0,C,76.7292,27
0,3,male,0,0,S,9.225,20
0,3,male,5,2,S,46.9,14
0,2,male,1,1,S,39,60
0,2,male,1,2,C,41.5792,25
0,3,male,4,1,S,39.6875,14
0,3,male,0,0,S,10.1708,19
0,3,male,0,0,S,7.7958,18
1,1,female,0,1,S,211.3375,15
1,1,male,1,0,S,57,31
1,3,female,0,1,C,13.4167,4
1,3,male,0,0,S,56.4958,
0,3,male,0,0,C,7.225,25
0,1,male,0,0,S,26.55,60
0,2,male,0,0,S,13.5,52
0,3,male,0,0,S,8.05,44
1,3,female,0,0,Q,7.7333,
0,1,male,1,1,C,110.8833,49
0,3,male,0,0,S,7.65,42
1,1,female,1,0,C,227.525,18
1,1,male,0,0,S,26.2875,35
0,3,female,0,1,C,14.4542,18
0,3,male,0,0,Q,7.7417,25
0,3,male,1,0,S,7.8542,26
0,2,male,0,0,S,26,39
1,2,female,0,0,S,13.5,45
1,1,male,0,0,S,26.2875,42
1,1,female,0,0,S,151.55,22
1,3,male,1,1,C,15.2458,
1,1,female,0,0,C,49.5042,24
0,1,male,0,0,S,26.55,
1,1,male,1,0,S,52,48
0,3,male,0,0,S,9.4833,29
0,2,male,0,0,S,13,52
0,3,male,0,0,S,7.65,19
1,1,female,0,0,C,227.525,38
1,2,female,0,0,S,10.5,27
0,3,male,0,0,Q,15.5,
0,3,male,0,0,S,7.775,33
1,2,female,0,1,S,33,6
0,3,male,1,0,S,7.0542,17
0,2,male,0,0,S,13,34
0,2,male,0,0,S,13,50
1,1,male,1,0,S,53.1,27
0,3,male,0,0,S,8.6625,20
1,2,female,3,0,S,21,30
1,3,female,0,0,Q,7.7375,
0,2,male,1,0,S,26,25
0,3,female,1,0,S,7.925,25
1,1,female,0,0,S,211.3375,29
0,3,male,0,0,C,18.7875,11
0,2,male,0,0,S,0,
0,2,male,0,0,S,13,23
0,2,male,0,0,S,13,23
0,3,male,0,0,S,16.1,28.5
0,3,female,1,3,S,34.375,48
1,1,male,0,0,C,512.3292,35
0,3,male,0,0,S,7.8958,
0,3,male,0,0,S,7.8958,
1,1,male,0,0,S,30,
0,1,male,1,0,S,78.85,36
1,1,female,2,2,C,262.375,21
0,3,male,1,0,S,16.1,24
1,3,male,0,0,S,7.925,31
0,1,male,1,1,S,71,70
0,3,male,1,1,S,20.25,16
1,2,female,0,0,S,13,30
0,1,male,1,0,S,53.1,19
0,3,male,0,0,Q,7.75,31
1,2,female,1,1,S,23,4
1,3,male,0,1,S,12.475,6
0,3,male,0,0,S,9.5,33
0,3,male,0,0,S,7.8958,23
1,2,female,1,2,S,65,48
1,2,male,1,1,S,14.5,0.67
0,3,male,0,0,S,7.7958,28
0,2,male,0,0,S,11.5,18
0,3,male,0,0,S,8.05,34
1,1,female,0,0,S,86.5,33
0,3,male,0,0,S,14.5,
0,3,male,0,0,S,7.125,41
1,3,male,0,0,C,7.2292,20
1,1,female,1,2,S,120,36
0,3,male,0,0,S,7.775,16
1,1,female,1,0,S,77.9583,51
0,1,male,0,0,C,39.6,
0,3,female,0,0,Q,7.75,30.5
0,3,male,1,0,Q,24.15,
0,3,male,0,0,S,8.3625,32
0,3,male,0,0,S,9.5,24
0,3,male,0,0,S,7.8542,48
0,2,female,0,0,S,10.5,57
0,3,male,0,0,C,7.225,
1,2,female,1,3,S,23,54
0,3,male,0,0,S,7.75,18
0,3,male,0,0,Q,7.75,
1,3,female,0,0,S,12.475,5
0,3,male,0,0,Q,7.7375,
1,1,female,0,1,S,211.3375,43
1,3,female,0,0,C,7.2292,13
1,1,female,1,0,S,57,17
0,1,male,0,0,S,30,29
0,3,male,1,2,S,23.45,
0,3,male,0,0,S,7.05,25
0,3,male,0,0,S,7.25,25
1,3,female,0,0,S,7.4958,18
0,3,male,4,1,Q,29.125,8
1,3,male,1,2,S,20.575,1
0,1,male,0,0,C,79.2,46
0,3,male,0,0,Q,7.75,
0,2,male,0,0,S,26,16
0,3,female,8,2,S,69.55,
0,1,male,0,0,C,30.6958,
0,3,male,0,0,S,7.8958,25
0,2,male,0,0,S,13,39
1,1,female,0,0,S,25.9292,49
1,3,female,0,0,S,8.6833,31
0,3,male,0,0,C,7.2292,30
0,3,female,1,1,S,24.15,30
0,2,male,0,0,S,13,34
1,2,female,1,1,S,26.25,31
1,1,male,1,2,S,120,11
1,3,male,0,1,C,8.5167,0.42
1,3,male,0,0,S,6.975,27
0,3,male,0,0,S,7.775,31
0,1,male,0,0,S,0,39
0,3,female,0,0,S,7.775,18
0,2,male,0,0,S,13,39
1,1,female,1,0,S,53.1,33
0,3,male,0,0,S,7.8875,26
0,3,male,0,0,S,24.15,39
0,2,male,0,0,S,10.5,35
0,3,female,4,2,S,31.275,6
0,3,male,0,0,S,8.05,30.5
0,1,male,0,0,S,0,
0,3,female,0,0,S,7.925,23
0,2,male,1,1,C,37.0042,31
0,3,male,0,0,S,6.45,43
0,3,male,3,2,S,27.9,10
1,1,female,1,1,S,93.5,52
1,3,male,0,0,S,8.6625,27
0,1,male,0,0,S,0,38
1,3,female,0,1,S,12.475,27
0,3,male,4,1,S,39.6875,2
0,3,male,0,0,Q,6.95,
0,3,male,0,0,S,56.4958,
1,2,male,0,2,C,37.0042,1
1,3,male,0,0,Q,7.75,
1,1,female,0,0,,80,62
1,3,female,1,0,C,14.4542,15
1,2,male,1,1,S,18.75,0.83
0,3,male,0,0,C,7.2292,
0,3,male,0,0,S,7.8542,23
0,3,male,0,0,S,8.3,18
1,1,female,1,1,C,83.1583,39
0,3,male,0,0,S,8.6625,21
0,3,male,0,0,S,8.05,
1,3,male,0,0,S,56.4958,32
1,1,male,0,0,C,29.7,
0,3,male,0,0,S,7.925,20
0,2,male,0,0,S,10.5,16
1,1,female,0,0,C,31,30
0,3,male,0,0,C,6.4375,34.5
0,3,male,0,0,S,8.6625,17
0,3,male,0,0,S,7.55,42
0,3,male,8,2,S,69.55,
0,3,male,0,0,C,7.8958,35
0,2,male,0,1,S,33,28
1,1,female,1,0,C,89.1042,
0,3,male,4,2,S,31.275,4
0,3,male,0,0,S,7.775,74
0,3,female,1,1,C,15.2458,9
1,1,female,0,1,S,39.4,16
0,2,female,1,0,S,26,44
1,3,female,0,1,S,9.35,18
1,1,female,1,1,S,164.8667,45
1,1,male,0,0,S,26.55,51
1,3,female,0,3,C,19.2583,24
0,3,male,0,0,C,7.2292,
0,3,male,2,0,S,14.1083,41
0,2,male,1,0,S,11.5,21
1,1,female,0,0,S,25.9292,48
0,3,female,8,2,S,69.55,
0,2,male,0,0,S,13,24
1,2,female,0,0,S,13,42
1,2,female,1,0,C,13.8583,27
0,1,male,0,0,S,50.4958,31
0,3,male,0,0,S,9.5,
1,3,male,1,1,S,11.1333,4
0,3,male,0,0,S,7.8958,26
1,1,female,1,1,S,52.5542,47
0,1,male,0,0,S,5,33
0,3,male,0,0,S,9,47
1,2,female,1,0,C,24,28
1,3,female,0,0,C,7.225,15
0,3,male,0,0,S,9.8458,20
0,3,male,0,0,S,7.8958,19
0,3,male,0,0,S,7.8958,
1,1,female,0,1,C,83.1583,56
1,2,female,0,1,S,26,25
0,3,male,0,0,S,7.8958,33
0,3,female,0,0,S,10.5167,22
0,2,male,0,0,S,10.5,28
0,3,male,0,0,S,7.05,25
0,3,female,0,5,Q,29.125,39
0,2,male,0,0,S,13,27
1,1,female,0,0,S,30,19
0,3,female,1,2,S,23.45,
1,1,male,0,0,C,30,26
0,3,male,0,0,Q,7.75,32
